Time, Latitude, Longitude, Dust(ug/m3), Humidity, Temp (C)
28/10/2016 17:32:33,69.681679,18.976198,-32.71,21.00,17.00
28/10/2016 17:32:35,69.681679,18.976198,-86.46,22.00,18.00
28/10/2016 17:32:35,69.681679,18.976198,-44.47,20.00,17.00
28/10/2016 17:32:37,69.681679,18.976198,-71.35,36.00,22.00
28/10/2016 17:32:42,69.681679,18.976198,-92.34,34.00,21.00
28/10/2016 17:32:44,69.681679,18.976198,-91.50,21.00,19.00
28/10/2016 17:32:44,69.681679,18.976198,-55.39,21.00,17.00
28/10/2016 17:32:47,69.681679,18.976198,-67.99,21.00,17.00
28/10/2016 17:32:51,69.681679,18.976198,-68.83,21.00,17.00
28/10/2016 17:32:54,69.681679,18.976198,-93.18,21.00,17.00
28/10/2016 17:32:54,69.681679,18.976198,-79.74,34.00,21.00
28/10/2016 17:32:56,69.681679,18.976198,-94.86,22.00,18.00
28/10/2016 17:33:1,69.681679,18.976198,-93.18,22.00,18.00
28/10/2016 17:33:3,69.681679,18.976198,-74.70,20.00,17.00
28/10/2016 17:33:3,69.681679,18.976198,-93.18,34.00,21.00
28/10/2016 17:33:5,69.681679,18.976198,-75.54,22.00,18.00
28/10/2016 17:33:10,69.681679,18.976198,-82.26,22.00,18.00
28/10/2016 17:33:12,69.681679,18.976198,-75.54,22.00,18.00
28/10/2016 17:33:12,69.681679,18.976198,-93.18,22.00,18.00
28/10/2016 17:33:19,69.681686,18.976627,-85.62,21.00,17.00
28/10/2016 17:33:22,69.681648,18.976582,-89.82,22.00,18.00
28/10/2016 17:33:25,69.681625,18.976530,-79.74,22.00,18.00
28/10/2016 17:33:28,69.681618,18.976471,-90.66,22.00,18.00
28/10/2016 17:33:31,69.681602,18.976404,-62.11,35.00,21.00
28/10/2016 17:33:34,69.681587,18.976379,-87.30,22.00,18.00
28/10/2016 17:33:37,69.681572,18.976376,-94.86,21.00,17.00
28/10/2016 17:33:40,69.681549,18.976387,-14.24,35.00,21.00
28/10/2016 17:33:43,69.681541,18.976429,-57.91,21.00,17.00
28/10/2016 17:33:46,69.681519,18.976408,-88.98,21.00,17.00
28/10/2016 17:33:49,69.681526,18.976410,-91.50,21.00,17.00
28/10/2016 17:33:52,69.681519,18.976423,-83.10,22.00,18.00
28/10/2016 17:33:55,69.681511,18.976408,-88.98,22.00,18.00
28/10/2016 17:33:58,69.681519,18.976414,-94.86,22.00,18.00
28/10/2016 17:34:1,69.681526,18.976437,-94.86,36.00,21.00
28/10/2016 17:34:4,69.681519,18.976431,-95.70,21.00,17.00
28/10/2016 17:34:7,69.681496,18.976448,-70.51,36.00,21.00
28/10/2016 17:34:10,69.681488,18.976458,-78.06,22.00,18.00
28/10/2016 17:34:13,69.681519,18.976431,-93.18,35.00,21.00
28/10/2016 17:34:16,69.681534,18.976442,-91.50,34.00,21.00
28/10/2016 17:34:19,69.681564,18.976425,-92.34,36.00,21.00
28/10/2016 17:34:22,69.681572,18.976400,-89.82,22.00,18.00
28/10/2016 17:34:25,69.681587,18.976368,-92.34,21.00,17.00
28/10/2016 17:34:28,69.681572,18.976366,-54.55,22.00,18.00
28/10/2016 17:34:31,69.681572,18.976349,-54.55,21.00,17.00
28/10/2016 17:34:34,69.681572,18.976376,-84.78,35.00,21.00
28/10/2016 17:34:37,69.681572,18.976385,-51.19,21.00,19.00
28/10/2016 17:34:40,69.681572,18.976406,-88.98,21.00,17.00
28/10/2016 17:34:43,69.681572,18.976383,-92.34,22.00,18.00
28/10/2016 17:34:46,69.681580,18.976358,-91.50,22.00,18.00
28/10/2016 17:34:49,69.681572,18.976414,-89.82,22.00,18.00
28/10/2016 17:34:52,69.681580,18.976414,-90.66,35.00,21.00
28/10/2016 17:34:55,69.681580,18.976379,-48.67,20.00,17.00
28/10/2016 17:34:58,69.681580,18.976345,-8.36,22.00,18.00
28/10/2016 17:35:1,69.681572,18.976332,-92.34,22.00,18.00
28/10/2016 17:35:4,69.681564,18.976316,-92.34,21.00,17.00
28/10/2016 17:35:7,69.681572,18.976282,-86.46,22.00,18.00
28/10/2016 17:35:10,69.681572,18.976305,-41.11,20.00,17.00
28/10/2016 17:35:13,69.681580,18.976336,-94.02,35.00,21.00
28/10/2016 17:35:16,69.681564,18.976332,-28.51,22.00,18.00
28/10/2016 17:35:19,69.681564,18.976318,-80.58,22.00,18.00
28/10/2016 17:35:22,69.681580,18.976316,-94.02,22.00,18.00
28/10/2016 17:35:25,69.681580,18.976303,-19.27,21.00,17.00
28/10/2016 17:35:28,69.681564,18.976273,-79.74,21.00,17.00
28/10/2016 17:35:31,69.681557,18.976288,-91.50,35.00,21.00
28/10/2016 17:35:34,69.681549,18.976295,-57.07,22.00,18.00
28/10/2016 17:35:37,69.681557,18.976307,-93.18,21.00,17.00
28/10/2016 17:35:40,69.681549,18.976255,-91.50,35.00,21.00
28/10/2016 17:35:43,69.681549,18.976231,-94.02,21.00,17.00
28/10/2016 17:35:46,69.681541,18.976196,-41.95,38.00,21.00
28/10/2016 17:35:49,69.681526,18.976215,-94.86,22.00,18.00
28/10/2016 17:35:52,69.681526,18.976231,-45.31,21.00,17.00
28/10/2016 17:35:55,69.681526,18.976257,-71.35,22.00,16.00
28/10/2016 17:35:58,69.681526,18.976263,-90.66,35.00,21.00
28/10/2016 17:36:1,69.681541,18.976259,-88.14,22.00,18.00
28/10/2016 17:36:4,69.681549,18.976252,-91.50,22.00,18.00
28/10/2016 17:36:7,69.681549,18.976236,-94.86,22.00,18.00
28/10/2016 17:36:10,69.681549,18.976263,-55.39,35.00,21.00
28/10/2016 17:36:13,69.681557,18.976280,-76.38,22.00,18.00
28/10/2016 17:36:16,69.681534,18.976269,-61.27,35.00,21.00
28/10/2016 17:36:19,69.681541,18.976236,-88.98,22.00,18.00
28/10/2016 17:36:22,69.681557,18.976263,-82.26,22.00,16.00
28/10/2016 17:36:25,69.681557,18.976267,-94.02,21.00,19.00
28/10/2016 17:36:28,69.681557,18.976255,-44.47,21.00,17.00
28/10/2016 17:36:31,69.681572,18.976219,-94.86,22.00,18.00
28/10/2016 17:36:34,69.681587,18.976187,-94.02,35.00,21.00
28/10/2016 17:36:37,69.681587,18.976185,-91.50,21.00,17.00
28/10/2016 17:36:40,69.681587,18.976192,-48.67,20.00,17.00
28/10/2016 17:36:43,69.681595,18.976208,-63.79,20.00,17.00
28/10/2016 17:36:46,69.681587,18.976231,-92.34,35.00,21.00
28/10/2016 17:36:49,69.681580,18.976250,-90.66,21.00,17.00
28/10/2016 17:36:52,69.681580,18.976265,-92.34,20.00,17.00
28/10/2016 17:36:55,69.681587,18.976255,-92.34,22.00,18.00
28/10/2016 17:36:58,69.681595,18.976269,-89.82,21.00,17.00
28/10/2016 17:37:1,69.681595,18.976271,-64.63,22.00,18.00
28/10/2016 17:37:4,69.681595,18.976284,-31.87,22.00,18.00
28/10/2016 17:37:7,69.681587,18.976286,-94.02,35.00,22.00
28/10/2016 17:37:10,69.681580,18.976315,-75.54,21.00,17.00
28/10/2016 17:37:13,69.681572,18.976311,-89.82,22.00,16.00
28/10/2016 17:37:16,69.681580,18.976309,-93.18,21.00,17.00
28/10/2016 17:37:19,69.681572,18.976341,-92.34,35.00,22.00
28/10/2016 17:37:22,69.681557,18.976372,-91.50,22.00,18.00
28/10/2016 17:37:25,69.681549,18.976374,-78.06,22.00,18.00
28/10/2016 17:37:28,69.681534,18.976334,-90.66,21.00,17.00
28/10/2016 17:37:31,69.681519,18.976345,-78.06,22.00,18.00
28/10/2016 17:37:34,69.681511,18.976364,-63.79,22.00,18.00
28/10/2016 17:37:37,69.681496,18.976341,-92.34,37.00,22.00
28/10/2016 17:37:40,69.681473,18.976307,-94.02,22.00,18.00
28/10/2016 17:37:43,69.681480,18.976307,-71.35,22.00,18.00
28/10/2016 17:37:46,69.681496,18.976307,-91.50,22.00,18.00
28/10/2016 17:37:49,69.681511,18.976322,-92.34,21.00,17.00
28/10/2016 17:37:52,69.681503,18.976297,-85.62,21.00,19.00
28/10/2016 17:37:55,69.681473,18.976263,-94.86,22.00,16.00
28/10/2016 17:37:58,69.681465,18.976236,-94.02,22.00,17.00
28/10/2016 17:38:1,69.681480,18.976219,-64.63,22.00,18.00
28/10/2016 17:38:4,69.681488,18.976219,-89.82,21.00,17.00
28/10/2016 17:38:7,69.681480,18.976206,-88.98,22.00,18.00
28/10/2016 17:38:10,69.681480,18.976204,-93.18,35.00,22.00
28/10/2016 17:38:13,69.681488,18.976200,-90.66,22.00,18.00
28/10/2016 17:38:16,69.681534,18.976254,-54.55,22.00,18.00
28/10/2016 17:38:19,69.681572,18.976242,-71.35,22.00,16.00
28/10/2016 17:38:22,69.681572,18.976234,-78.06,22.00,18.00
28/10/2016 17:38:25,69.681587,18.976248,-88.98,21.00,17.00
28/10/2016 17:38:28,69.681625,18.976286,-90.66,22.00,18.00
28/10/2016 17:38:31,69.681664,18.976288,-78.06,22.00,18.00
28/10/2016 17:38:34,69.681679,18.976294,-94.02,22.00,18.00
28/10/2016 17:38:37,69.681664,18.976330,-31.87,22.00,16.00
28/10/2016 17:38:40,69.681625,18.976330,-91.50,22.00,18.00
28/10/2016 17:38:43,69.681602,18.976343,-92.34,21.00,17.00
28/10/2016 17:38:46,69.681625,18.976326,-74.70,22.00,18.00
28/10/2016 17:38:49,69.681580,18.976328,-85.62,21.00,17.00
28/10/2016 17:38:52,69.681549,18.976301,-94.02,22.00,16.00
28/10/2016 17:38:55,69.681740,18.976305,-91.50,35.00,22.00
28/10/2016 17:38:58,69.681740,18.976305,-94.02,22.00,18.00
28/10/2016 17:38:58,69.681740,18.976305,-48.67,22.00,18.00
28/10/2016 17:38:58,69.681740,18.976305,-62.11,22.00,18.00
28/10/2016 17:39:6,69.681740,18.976305,-92.34,35.00,21.00
28/10/2016 17:39:6,69.681740,18.976305,-94.02,22.00,18.00
28/10/2016 17:39:6,69.681740,18.976305,-88.98,22.00,18.00
28/10/2016 17:39:14,69.681511,18.976362,-89.82,35.00,21.00
28/10/2016 17:39:17,69.681549,18.976292,-90.66,21.00,17.00
28/10/2016 17:39:20,69.681549,18.976273,-94.02,35.00,22.00
28/10/2016 17:39:23,69.681541,18.976267,-90.66,22.00,18.00
28/10/2016 17:39:26,69.681519,18.976307,-92.34,22.00,16.00
28/10/2016 17:39:29,69.681526,18.976299,-88.14,35.00,22.00
28/10/2016 17:39:32,69.681496,18.976288,-88.98,22.00,18.00
28/10/2016 17:39:35,69.681496,18.976271,-90.66,21.00,17.00
28/10/2016 17:39:38,69.681511,18.976299,-92.34,22.00,18.00
28/10/2016 17:39:41,69.681526,18.976322,-57.91,22.00,18.00
28/10/2016 17:39:44,69.681526,18.976343,10.12,22.00,18.00
28/10/2016 17:39:47,69.681526,18.976337,-84.78,22.00,18.00
28/10/2016 17:39:50,69.681519,18.976345,-92.34,22.00,16.00
28/10/2016 17:39:53,69.681519,18.976324,-94.86,21.00,17.00
28/10/2016 17:39:56,69.681503,18.976320,-89.82,22.00,18.00
28/10/2016 17:39:59,69.681526,18.976332,-91.50,22.00,18.00
28/10/2016 17:40:2,69.681534,18.976313,-88.14,22.00,18.00
28/10/2016 17:40:5,69.681534,18.976303,-71.35,22.00,18.00
28/10/2016 17:40:8,69.681534,18.976322,-92.34,22.00,18.00
28/10/2016 17:40:11,69.681541,18.976322,-94.86,22.00,18.00
28/10/2016 17:40:14,69.681549,18.976332,-88.98,22.00,18.00
28/10/2016 17:40:17,69.681541,18.976349,-91.50,22.00,18.00
28/10/2016 17:40:20,69.681557,18.976351,-88.98,22.00,18.00
28/10/2016 17:40:23,69.681549,18.976351,-91.50,22.00,18.00
28/10/2016 17:40:26,69.681534,18.976336,-94.02,22.00,18.00
28/10/2016 17:40:29,69.681511,18.976326,-94.02,21.00,17.00
28/10/2016 17:40:32,69.681496,18.976318,-88.98,22.00,18.00
28/10/2016 17:40:35,69.681473,18.976320,-93.18,21.00,17.00
28/10/2016 17:40:38,69.681442,18.976297,-91.50,22.00,18.00
28/10/2016 17:40:41,69.681450,18.976301,-67.99,21.00,17.00
28/10/2016 17:40:44,69.681442,18.976280,-91.50,22.00,16.00
28/10/2016 17:40:47,69.681435,18.976269,-60.43,36.00,21.00
28/10/2016 17:40:50,69.681412,18.976252,-90.66,22.00,18.00
28/10/2016 17:40:53,69.681419,18.976250,-88.14,36.00,22.00
28/10/2016 17:40:56,69.681419,18.976250,-88.98,22.00,18.00
28/10/2016 17:40:56,69.681419,18.976250,-79.74,22.00,18.00
28/10/2016 17:40:56,69.681419,18.976250,-67.99,21.00,17.00
28/10/2016 17:41:4,69.681519,18.976339,-90.66,22.00,18.00
28/10/2016 17:41:7,69.681541,18.976343,-90.66,22.00,18.00
28/10/2016 17:41:10,69.681534,18.976330,-92.34,35.00,22.00
28/10/2016 17:41:13,69.681534,18.976337,-90.66,22.00,18.00
28/10/2016 17:41:16,69.681572,18.976366,-88.14,22.00,18.00
28/10/2016 17:41:19,69.681534,18.976313,-62.95,22.00,18.00
28/10/2016 17:41:22,69.681511,18.976286,-92.34,22.00,18.00
28/10/2016 17:41:25,69.681526,18.976305,-88.98,21.00,17.00
28/10/2016 17:41:28,69.681465,18.976229,-64.63,21.00,19.00
28/10/2016 17:41:31,69.681526,18.976274,-94.02,21.00,17.00
28/10/2016 17:41:34,69.681526,18.976276,-59.59,22.00,18.00
28/10/2016 17:41:37,69.681290,18.976023,-85.62,36.00,22.00
28/10/2016 17:41:40,69.681358,18.976080,-94.86,21.00,17.00
28/10/2016 17:41:43,69.681343,18.976074,-91.50,22.00,18.00
28/10/2016 17:41:46,69.681374,18.976105,-91.50,35.00,21.00
28/10/2016 17:41:49,69.681396,18.976128,-41.95,21.00,19.00
28/10/2016 17:41:52,69.681427,18.976158,-89.82,35.00,21.00
28/10/2016 17:41:55,69.681427,18.976158,-92.34,35.00,21.00
28/10/2016 17:41:55,69.681427,18.976158,-94.02,22.00,18.00
28/10/2016 17:41:55,69.681427,18.976158,-73.02,22.00,18.00
28/10/2016 17:42:0,69.681427,18.976158,-68.83,35.00,22.00
28/10/2016 17:42:5,69.681480,18.976212,-91.50,36.00,22.00
28/10/2016 17:42:8,69.681519,18.976246,-97.38,34.00,22.00
28/10/2016 17:42:11,69.681503,18.976240,-88.98,22.00,18.00
28/10/2016 17:42:14,69.681503,18.976236,-82.26,22.00,18.00
28/10/2016 17:42:17,69.681541,18.976259,-72.19,35.00,21.00
28/10/2016 17:42:20,69.681519,18.976242,-94.86,22.00,18.00
28/10/2016 17:42:23,69.681496,18.976212,-94.02,22.00,18.00
28/10/2016 17:42:26,69.681496,18.976212,-35.23,35.00,21.00
28/10/2016 17:42:26,69.681496,18.976212,-75.54,35.00,21.00
28/10/2016 17:42:26,69.681496,18.976212,-81.42,22.00,18.00
28/10/2016 17:42:31,69.681496,18.976212,-91.50,35.00,21.00
28/10/2016 17:42:36,69.681572,18.976324,-90.66,20.00,17.00
28/10/2016 17:42:39,69.681572,18.976324,-91.50,22.00,18.00
28/10/2016 17:42:39,69.681572,18.976324,-83.10,22.00,18.00
28/10/2016 17:42:39,69.681572,18.976324,-95.70,22.00,18.00
28/10/2016 17:42:44,69.681572,18.976324,-76.38,35.00,22.00
28/10/2016 17:42:47,69.681572,18.976324,-93.18,34.00,22.00
28/10/2016 17:42:47,69.681572,18.976324,-93.18,22.00,18.00
28/10/2016 17:42:49,69.681572,18.976324,-86.46,36.00,21.00
28/10/2016 17:42:56,69.681572,18.976324,-91.50,22.00,18.00
28/10/2016 17:42:56,69.681572,18.976324,-91.50,22.00,18.00
28/10/2016 17:42:56,69.681572,18.976324,-93.18,22.00,16.00
28/10/2016 17:43:1,69.681572,18.976324,-90.66,35.00,21.00
28/10/2016 17:43:4,69.681572,18.976324,-64.63,22.00,18.00
28/10/2016 17:43:4,69.681572,18.976324,-69.67,22.00,18.00
28/10/2016 17:43:6,69.681572,18.976324,-75.54,22.00,18.00
